naics	susb_statenaics_firms	yr	state
72	274	2001	NE
81	171	2001	NE
95	70	2001	NE
99	0	2001	NE
11	1	2001	NV
21	40	2001	NV
22	24	2001	NV
23	402	2001	NV
31	299	2001	NV
42	523	2001	NV
44	702	2001	NV
48	174	2001	NV
51	117	2001	NV
52	295	2001	NV
53	175	2001	NV
54	305	2001	NV
55	202	2001	NV
56	313	2001	NV
61	33	2001	NV
62	246	2001	NV
71	136	2001	NV
72	386	2001	NV
81	176	2001	NV
95	94	2001	NV
99	0	2001	NV
11	3	2001	NH
21	6	2001	NH
22	19	2001	NH
23	82	2001	NH
31	424	2001	NH
42	322	2001	NH
44	486	2001	NH
48	72	2001	NH
51	113	2001	NH
52	171	2001	NH
53	77	2001	NH
54	165	2001	NH
55	116	2001	NH
56	168	2001	NH
61	61	2001	NH
62	212	2001	NH
71	52	2001	NH
72	208	2001	NH
81	106	2001	NH
95	34	2001	NH
99	0	2001	NH
11	1	2001	NJ
21	23	2001	NJ
22	35	2001	NJ
23	485	2001	NJ
31	1762	2001	NJ
42	1813	2001	NJ
44	1249	2001	NJ
48	674	2001	NJ
51	373	2001	NJ
52	623	2001	NJ
53	311	2001	NJ
54	1298	2001	NJ
55	764	2001	NJ
56	984	2001	NJ
61	297	2001	NJ
62	1018	2001	NJ
71	214	2001	NJ
72	695	2001	NJ
81	547	2001	NJ
95	313	2001	NJ
99	0	2001	NJ
11	3	2001	NM
21	98	2001	NM
22	24	2001	NM
23	167	2001	NM
31	187	2001	NM
42	393	2001	NM
44	506	2001	NM
48	124	2001	NM
51	95	2001	NM
52	223	2001	NM
53	108	2001	NM
54	236	2001	NM
55	123	2001	NM
56	194	2001	NM
61	57	2001	NM
62	259	2001	NM
71	52	2001	NM
72	359	2001	NM
81	160	2001	NM
95	43	2001	NM
99	0	2001	NM
11	20	2001	NY
21	50	2001	NY
22	49	2001	NY
23	1014	2001	NY
31	2709	2001	NY
42	2358	2001	NY
44	1956	2001	NY
48	826	2001	NY
51	845	2001	NY
52	1184	2001	NY
53	599	2001	NY
54	2082	2001	NY
55	1285	2001	NY
56	1620	2001	NY
61	764	2001	NY
62	2522	2001	NY
71	531	2001	NY
72	1531	2001	NY
81	1139	2001	NY
95	372	2001	NY
99	0	2001	NY
11	23	2001	NC
21	24	2001	NC
22	52	2001	NC
23	661	2001	NC
31	2091	2001	NC
42	1465	2001	NC
44	1303	2001	NC
48	444	2001	NC
51	287	2001	NC
52	504	2001	NC
53	278	2001	NC
54	823	2001	NC
55	676	2001	NC
56	766	2001	NC
61	198	2001	NC
62	972	2001	NC
71	202	2001	NC
72	921	2001	NC
81	487	2001	NC
95	227	2001	NC
99	0	2001	NC
11	3	2001	ND
21	30	2001	ND
22	12	2001	ND
23	50	2001	ND
31	127	2001	ND
42	223	2001	ND
44	267	2001	ND
48	77	2001	ND
51	58	2001	ND
52	99	2001	ND
53	44	2001	ND
54	47	2001	ND
55	60	2001	ND
56	63	2001	ND
61	26	2001	ND
62	160	2001	ND
71	20	2001	ND
72	135	2001	ND
81	81	2001	ND
95	12	2001	ND
99	0	2001	ND
11	11	2001	OH
21	77	2001	OH
22	36	2001	OH
23	721	2001	OH
31	3220	2001	OH
42	1943	2001	OH
44	1830	2001	OH
48	560	2001	OH
51	355	2001	OH
52	695	2001	OH
53	399	2001	OH
54	1048	2001	OH
55	1066	2001	OH
56	1081	2001	OH
61	365	2001	OH
62	1662	2001	OH
71	316	2001	OH
72	1374	2001	OH
81	813	2001	OH
95	369	2001	OH
99	0	2001	OH
11	7	2001	OK
21	158	2001	OK
22	51	2001	OK
23	229	2001	OK
31	660	2001	OK
42	670	2001	OK
